Rank,Country,Capital city,2008 Population,2002_population,Population_growth_2002_2008,Land_area_sq_km,Population_density_pop_per_sq_km
1,China,Beijing,1330045000,1284303705,0.0356,9596960,138.6
2,India,New Delhi,1147996000,1045845226,0.0977,3287590,349.2
3,United States of America,Washington DC,303825000,280562489,0.0829,9629091,31.6
4,Indonesia,Jakarta,237512000,231328092,0.0267,1919440,123.7
5,Brazil,Brasilia,191909000,176029560,0.0902,8511965,22.5
6,Pakistan,Islamabad,167762000,147663429,0.1361,803940,208.7
7,Bangladesh,Dhaka,153547000,133376684,0.1512,144000,1066.3
8,Russia,Moscow,140702000,144978573,-0.0295,17075200,8.2
9,Nigeria,Abuja,138283000,129934911,0.0642,923768,149.7
10,Japan,Tokyo,127288000,126974628,0.0025,377835,336.9
11,Mexico,Mexico,109955000,103400165,0.0634,1972550,55.7
12,Philippines,Manila,92681000,84525639,0.0965,300000,308.9
13,Vietnam,Hanoi,86117000,81098416,0.0619,329560,261.3
14,Germany,Berlin,82370000,83251851,-0.0106,357021,230.7
15,Egypt,Cairo,81714000,70712345,0.1556,1001450,81.6
16,Ethiopia,Addis Ababa,78254000,67673031,0.1564,1127127,69.4
17,Turkey,Ankara,71893000,67308928,0.0681,780580,92.1
18,Congo (Dem. Rep.),Kinshasa,66515000,55225478,0.2044,2345410,28.4
19,Iran,Tehran,65875000,66622704,-0.0112,1648000,40
20,Thailand,Bangkok,65493000,62354402,0.0503,514000,127.4
21,France,Paris,62100000,59765983,0.0391,547030,113.5
22,Great Britain & Northern Ireland,London,60944000,59778002,0.0195,244820,248.9
23,Italy,Rome,58145000,57715625,0.0074,301230,193
24,Korea (South),Seoul,49233000,48324000,0.0188,98480,499.9
25,Burma (Myanmar,Rangoon,47758000,42238224,0.1307,678500,70.4
26,Ukraine,Kiev,45994000,48396470,-0.0496,603700,76.2
27,Colombia,Bogota,45014000,41008227,0.0977,1138910,39.5
28,South Africa,Pretoria,43786000,43647658,0.0032,1219912,35.9
29,Argentina,Buenos Aires,40677000,37812817,0.0757,2766890,14.7
30,Spain,Madrid,40491000,40077100,0.0103,504782,80.2
31,Sudan,Khartoum,40218000,37090298,0.0843,2505810,16
32,Tanzania,Dar es Salaam,40213000,37187939,0.0813,945087,42.5
33,Poland,Warsaw,38501000,38625478,-0.0032,312685,123.1
34,Kenya,Nairobi,37954000,31138735,0.2189,582650,65.1
35,Morocco,Rabat,34343000,31167783,0.1019,446550,76.9
36,Algeria,Algiers,33770000,32277942,0.0462,2381740,14.2
37,Canada,Ottawa,33213000,31902268,0.0411,9976140,3.3
38,Afghanistan,Kabul,32738000,27755775,0.1795,647500,50.6
39,Uganda,Kampala,31368000,24699073,0.27,236040,132.9
40,Nepal,Kathmandu,29519000,25873917,0.1409,140800,209.7
41,Peru,Lima,29181000,27949639,0.0441,1285220,22.7
42,Uzbekistan,Tashkent,28268000,25563441,0.1058,447400,63.2
43,Iraq,Baghdad,28221000,24001816,0.1758,437072,64.6
44,Saudi Arabia,Riyadh,28161000,23513330,0.1977,1960582,14.4
45,Venezuela,Caracas,26415000,24287670,0.0876,912050,29
46,Malaysia,Kuala Lumpur,25274000,22662365,0.1152,329750,76.6
